省	市	区	地址
吉林省	四平市	伊通满族自治县	第一人民医院
内蒙古自治区	呼和浩特市	济民中西医结合医院	
重庆市	重庆市	涪陵太康医院	
广西壮族自治区	南宁市	横县	中医医院
浙江省	杭州市	绿康医院	
内蒙古自治区	鄂尔多斯市	准格尔旗	人民医院
中国人民解放军第六九O五工厂职工医院			
河南省	开封市	中医院	
安徽省	合肥市	瑶海区	曙光医院(合肥市瑶海区第二人民医院)
安徽省	宿州市	泗县	中医医院
湖北省	武汉市	冶金设备制造公司职工医院	
山东省	章丘市明水汇泉路医院		
新疆维吾尔自治区	和田地区	策勒县	人民医院
山东省	青岛市	公安消防医院	
福建省	福州市	平潭县	中医院
山东省	济南市	华夏医院	
山东省	淄博市	冶金医院	
山东省	淄博市	商业职工医院	
河北省	唐山市	乐亭县	医院
鹤煤(集团)公司二矿医院			
江西省	宜春市	上高县	人民医院
道真仡佬族苗族自治县人民医院			
天津市	天津市	津市市	红桥健安医院
中国空空导弹研究院014医院			
胜利油田管理局河口医院			
山东省	潍坊市	寿光市	职工医院
山东省	临沂市	苍山县中医医院	
湖北省	襄阳市	湖北省襄樊市中心医院万山分院	
四川省	巴中市	平昌县	人民医院
江西省	九江市	彭泽县	中医院
广西壮族自治区	南宁市	协和医院有限责任公司	
贵州省	遵义市	习水县	中医院
新疆维吾尔自治区	乌鲁木齐市	米东区	中医医院
云南省	大理白族自治州	大理市	老年病医院
山东省	淄博市	周村区	第二人民医院
湖北省	孝感市	应城市	中医医院
湖北省	咸宁市	嘉鱼县	中医医院
浙江省	丽水市	碧湖医院	
陕西省	榆林市	榆阳区	中医医院
山西省	大同市	县人民医院	
河南省	郑州市	登封市	安泰医院
湖南省	常德市	西洞庭人民医院	
安徽省	黄山市	李源医院	
峰峰集团有限公司马头洗选厂医院			
海南省	海口市	磷矿厂职工医院	
海南省	国营福报农场医院		
湖南省	郴州市	永兴县	湘永医院
青海省	黄南藏族自治州	尖扎县	黄南州尖扎县人民医院
湖南省	郴州市	临武县	香花岭医院
黑龙江省	黑河市	北安市	医院
河北省	邯郸市	中心医院南院	
湖南省	益阳市	安化县	清塘医院
湖北省	武汉市	武昌区	第一医院
江苏省	常州市	同济医院	
北京市	北京市	东城区	红十字会东华医院
河南省	安阳市	内黄县	荣康医院
河南省	漯河市	中心医院一分院	
河北省	邯郸市	建工集团有限公司职工医院	
湖南省	长沙市	建设医院	
北京市	北京市	清河毛纺织厂职工医院	
广东省	清远市	佛冈县	汤塘镇医院
甘肃省	庆阳市	镇原县	第二人民医院
河北省	承德市	隆化县	第二医院
新疆维吾尔自治区	和田地区	棉纺织厂职工医院	
河北省	医科大学第三医院东院		
广西壮族自治区	桂林市	银海医院	
察右后旗蒙医院			
阿城河东医院			
黑龙江省	哈尔滨市	五常市	民康医院
甘肃省	核地质二一二医院		
河南省	濮阳市	台前县	第二人民医院
河南省	军区医院		
北京市	北京市	积水潭医院回龙观院区	
海南省	海口市	第三人民医院	
广东省	广州市	广东健乐医院	
广东省	深圳市	华夏医院	
广东省	建设场农场医院		
天津市	天津市	津市市	滨海新区塘沽中医医院
山东省	威海市	立医院南院区	
中国人民解放军第八十九中心医院			
辽宁省	葫芦岛市	第四人民医院	
江苏省	苏州市	常熟市	第一人民医院（滨江院区）
广东省	二零一职工医院		
甘肃省	天水市	麦积区	中医医院
河北省	邯郸市	国营汉光机械厂职工医院	
河南省	周口市	淮阳县	公疗医院
河北省	邢台市	长征医院	
河南省	驻马店市	圣德医院	
河北省	承德市	中医院（东院区）	
江苏省	南京市	普天实业有限公司普天医院	
广东省	广州市	造纸厂职工医院	
黑龙江省	鹤岗市	铁兴人民医院	
海南省	儋州市	省松涛水利工程管理局职工医院	
